Household_Id,date,month,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min,Usage_Type,Acorn,Acorn_grouped,file,Score,Anomaly,Average_Energy_That_Day,Anomaly Class
MAC004179,18/02/2013,Feb,5.52200005,5.791124987,8.1709995,48,0.713607716,277.97,5.052,Fixed,ACORN-A,Affluent,block_0,-0.308005045,-1,12.81,Over
MAC004179,13/11/2013,Nov,5.4575002,5.641979165,7.1789999,48,0.515489708,270.81,5.0300002,Fixed,ACORN-A,Affluent,block_0,-0.308005045,-1,13.24,Over
MAC004179,17/02/2013,Feb,5.1924999,4.883645856,6.651,48,1.140352631,234.42,1.737,Fixed,ACORN-A,Affluent,block_0,-0.308005045,-1,13.24,Over
MAC004179,14/11/2013,Nov,5.11599995,4.204187481,5.928,48,1.417547917,201.8,1.939,Fixed,ACORN-A,Affluent,block_0,-0.308005045,-1,12.88,Over
MAC004179,11/12/2013,Dec,3.643,3.996520835,7.3299999,48,1.858427479,191.83,1.716,Fixed,ACORN-A,Affluent,block_0,-0.308005045,-1,13.19,Over
MAC004179,19/02/2013,Feb,3.2725,3.722979167,5.6900001,48,1.424814227,178.7,1.788,Fixed,ACORN-A,Affluent,block_0,-0.308005045,-1,12.79,Over
MAC003394,24/11/2013,Nov,3.428,3.475854154,5.4039998,48,0.601426529,166.84,2.618,Fixed,ACORN-A,Affluent,block_0,-0.308005045,-1,14.65,Over
MAC000569,16/11/2013,Nov,2.8189999,3.20177084,5.862,48,1.006027506,153.69,1.984,Fixed,ACORN-A,Affluent,block_1,-0.308005045,-1,13.99,Over
MAC000569,20/11/2013,Nov,2.64550005,3.096666667,5.4260001,48,1.038279549,148.64,2.017,Fixed,ACORN-A,Affluent,block_1,-0.308005045,-1,13.72,Over
MAC003394,23/11/2013,Nov,3.377,3.092666642,4.401,48,0.773883923,148.45,2.098,Fixed,ACORN-A,Affluent,block_0,-0.308005045,-1,14.46,Over
MAC004179,12/06/2013,Jun,2.78849995,2.949958317,4.6919999,48,0.830552508,141.6,1.683,Fixed,ACORN-A,Affluent,block_0,-0.307063025,-1,14.01,Over
MAC004179,12/03/2013,Mar,2.75699995,2.941229169,5.8270001,48,0.992551293,141.18,1.6950001,Fixed,ACORN-A,Affluent,block_0,-0.307063025,-1,14.06,Over
MAC000569,24/11/2013,Nov,3.16299995,2.904312506,5.178,48,1.223465219,139.41,1.2970001,Fixed,ACORN-A,Affluent,block_1,-0.307063025,-1,14.65,Over
MAC001145,26/03/2013,Mar,2.93400005,2.903145808,4.9549999,48,1.279048713,139.35,1.428,Fixed,ACORN-A,Affluent,block_1,-0.307063025,-1,13.51,Over
MAC004179,25/11/2013,Nov,2.674,2.895395837,4.6539998,48,0.821280639,138.98,1.814,Fixed,ACORN-A,Affluent,block_0,-0.307063025,-1,13.28,Over
MAC004179,22/11/2013,Nov,2.712,2.874812506,5.0170002,48,0.799892664,137.99,1.979,Fixed,ACORN-A,Affluent,block_0,-0.307063025,-1,13.65,Over
MAC004179,17/05/2013,May,2.724,2.856354152,4.6960001,48,0.72445679,137.1,1.848,Fixed,ACORN-A,Affluent,block_0,-0.307063025,-1,12.35,Over
MAC000569,11/09/2013,Sep,2.98099995,2.851916656,4.428,48,0.573867325,136.89,2.086,Fixed,ACORN-A,Affluent,block_1,-0.307063025,-1,14.07,Over
MAC000569,11/10/2013,Oct,2.68449995,2.841791663,5.2470002,48,0.770919177,136.41,1.97,Fixed,ACORN-A,Affluent,block_1,-0.307063025,-1,14.1,Over
MAC001145,21/01/2013,Jan,2.918,2.818166654,5.6079998,48,1.481806682,135.27,1.079,Fixed,ACORN-A,Affluent,block_1,-0.307063025,-1,13.61,Over
MAC001145,24/03/2013,Mar,2.99749995,2.81172916,4.7259998,48,1.2238059,134.96,1.3329999,Fixed,ACORN-A,Affluent,block_1,-0.306122067,-1,13.74,Over
MAC004179,18/01/2013,Jan,2.63600005,2.80564584,5.296,48,1.051422998,134.67,1.4069999,Fixed,ACORN-A,Affluent,block_0,-0.306122067,-1,14.22,Over
MAC004179,15/11/2013,Nov,2.70749995,2.796666669,4.5469999,48,0.814075934,134.24,1.653,Fixed,ACORN-A,Affluent,block_0,-0.306122067,-1,13.15,Over
MAC000569,19/11/2013,Nov,2.23450005,2.781958331,5.0780001,48,0.954828036,133.53,1.706,Fixed,ACORN-A,Affluent,block_1,-0.306122067,-1,13.67,Over
MAC000569,11/08/2013,Aug,2.31299995,2.76091665,5.1929998,48,0.878078772,132.52,1.8839999,Fixed,ACORN-A,Affluent,block_1,-0.30424333,-1,13.24,Over
MAC004179,24/05/2013,May,2.57850005,2.7540625,4.4359999,48,0.601143462,132.2,1.931,Fixed,ACORN-A,Affluent,block_0,-0.30424333,-1,12.03,Over
MAC004179,19/11/2013,Nov,2.7164999,2.722874998,5.678,48,0.890974559,130.7,1.585,Fixed,ACORN-A,Affluent,block_0,-0.30330555,-1,13.67,Over
MAC004179,21/02/2013,Feb,2.73099995,2.722604165,4.6919999,48,0.873268306,130.68,1.628,Fixed,ACORN-A,Affluent,block_0,-0.30330555,-1,12.85,Over
MAC004179,12/05/2013,May,2.658,2.718354162,4.0599999,48,0.698189791,130.48,1.599,Fixed,ACORN-A,Affluent,block_0,-0.30330555,-1,13.9,Over
MAC001145,25/01/2013,Jan,2.6880001,2.718125,6.046,48,1.46756,130.47,1.085,Fixed,ACORN-A,Affluent,block_1,-0.30330555,-1,13.94,Over
MAC004179,02/12/2013,Dec,2.5015,2.709874992,4.9689999,48,0.952679647,130.07,1.487,Fixed,ACORN-A,Affluent,block_0,-0.30330555,-1,13.25,Over
MAC001145,17/01/2013,Jan,2.7635,2.705958325,5.6409998,48,1.427155179,129.89,1.045,Fixed,ACORN-A,Affluent,block_1,-0.30330555,-1,13.94,Over
MAC004179,14/05/2013,May,2.6515,2.694354171,4.1620002,48,0.678489944,129.33,1.677,Fixed,ACORN-A,Affluent,block_0,-0.30330555,-1,12.11,Over
MAC004179,12/10/2013,Oct,2.5530001,2.686062481,4.7319999,48,0.792091444,128.93,1.393,Fixed,ACORN-A,Affluent,block_0,-0.30330555,-1,13.91,Over
MAC001145,02/12/2013,Dec,2.3105,2.680125013,5.1849999,48,1.263252342,128.65,1.309,Fixed,ACORN-A,Affluent,block_1,-0.30330555,-1,13.25,Over
